phase,k,friedman_stat,p_value,holm_p_GA,holm_p_GOA,holm_p_GWO,holm_p_MPA,holm_p_PSO,holm_p_QIGOA,holm_p_WOA
A,2,192.00000000000006,9.556290978166921e-39,0.0,4.0615636187624204e-08,1.0,1.0,1.0,1.0,1.0
A,3,215.48242811501592,9.558293166368605e-44,1.0,6.674660824046441e-13,0.0,1.0,1.0,1.0,1.0
A,4,228.22372881355943,1.8326938508349467e-46,0.0,1.4508394485801546e-12,1.0,1.0,1.0,1.0,1.0
A,5,216.62857142857143,5.445823883994987e-44,0.0,6.674660824046441e-13,1.0,1.0,1.0,1.0,1.0
B,6,162.72815533980568,1.565091527173136e-32,0.0,2.6645352591003757e-15,1.0,0.17418109521617176,0.9793550795560071,1.0,0.02596868572741773
B,8,178.8871224165343,5.8470031417913504e-36,0.3914186368493082,0.0,0.3091270712842116,1.8168411219932068e-08,0.0,0.35154922591175053,4.5099106671386835e-07
B,10,182.69727272727278,9.071376602144546e-37,2.173334221744483e-05,0.0,4.4862217873919974e-07,0.0,0.0,0.040922021750281035,3.4504044066352435e-09
C,3,207.54006243496335,4.7068652939976156e-42,1.0,5.488942633746774e-13,0.8970512023729984,1.0,1.0,1.0,0.0
C,5,203.34124629080137,3.689036854829349e-41,0.0,2.0383694732117874e-13,1.0,1.0,1.0,1.0,1.0
C,8,177.2846079380446,1.2799310939207093e-35,0.6229514396649911,0.0,0.0020971836626417772,1.688871265059788e-11,0.0,0.00883997852951035,2.543769790364081e-07
