algorithm,k,fitness_value
GA,2,9.61462227977207
GA,3,12.757816154362015
GA,4,15.89156133689616
GA,5,18.835309777770014
GA,6,21.541285502276377
GA,8,26.57302680856698
GA,10,31.116030195913094
GOA,2,9.57816263693629
GOA,3,12.54764131244305
GOA,4,15.429550133308645
GOA,5,18.17878912838014
GOA,6,20.692258072487014
GOA,8,25.188921076010857
GOA,10,29.16994443807575
GWO,2,9.614666616057661
GWO,3,12.77006855671158
GWO,4,15.904039124042022
GWO,5,18.831089473400148
GWO,6,21.539242695421013
GWO,8,26.564315855105427
GWO,10,31.095843441422172
MPA,2,9.614661329205399
MPA,3,12.773128228606751
MPA,4,15.904281922263259
MPA,5,18.83303442982329
MPA,6,21.5353505481819
MPA,8,26.517251202306525
MPA,10,30.984586952548025
PSO,2,9.614666616057661
PSO,3,12.760319928649567
PSO,4,15.892521349005104
PSO,5,18.835761881100535
PSO,6,21.545957049976224
PSO,8,26.584728619433662
PSO,10,31.1367875657916
QIGOA,2,9.614666616057661
QIGOA,3,12.756927637130223
QIGOA,4,15.849070190101502
QIGOA,5,18.824910056804764
QIGOA,6,21.5358832008677
QIGOA,8,26.55366831528759
QIGOA,10,31.10762795548858
WOA,2,9.61463279612557
WOA,3,12.769890709487429
WOA,4,15.898169294494895
WOA,5,18.819438510193102
WOA,6,21.52534480707936
WOA,8,26.541437744751683
WOA,10,31.08291886329344
