# QIGOA reality-check | script=run_ceiling.py (P5 q* — nested CV, A3) | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:20
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,fold,fit_size,label,q_star,train_dice_mean,n_train,n_test,test_dice_median,placeholder
wt_flair,true,0,5,P5-percentile@n5,97.28686868686869,0.6920106544153743,5,74,0.6152384735295882,0
wt_flair,true,0,10,P5-percentile@n10,96.68383838383839,0.7287133219999757,10,74,0.6605818810499642,0
wt_flair,true,0,20,P5-percentile@n20,96.68383838383839,0.7727362993615877,20,74,0.6605818810499642,0
wt_flair,true,0,50,P5-percentile@n50,96.28181818181818,0.7536102924171725,50,74,0.6770733917984935,0
wt_flair,true,0,100,P5-percentile@n100,96.28181818181818,0.7165793620576636,100,74,0.6770733917984935,0
wt_flair,true,0,294,P5-percentile,95.67878787878789,0.70652529514296,294,74,0.6892923098723314,0
wt_flair,true,1,5,P5-percentile@n5,96.08080808080808,0.686225418721323,5,74,0.7218843378730124,0
wt_flair,true,1,10,P5-percentile@n10,96.88484848484849,0.7040283062065974,10,74,0.6950574630975008,0
wt_flair,true,1,20,P5-percentile@n20,96.28181818181818,0.751934203318753,20,74,0.719101606899937,0
wt_flair,true,1,50,P5-percentile@n50,96.28181818181818,0.7448841271287762,50,74,0.719101606899937,0
wt_flair,true,1,100,P5-percentile@n100,96.28181818181818,0.7186366740589211,100,74,0.719101606899937,0
wt_flair,true,1,294,P5-percentile,95.67878787878789,0.7002476346011578,294,74,0.7322301802337928,0
wt_flair,true,2,5,P5-percentile@n5,93.46767676767678,0.6558820402434212,5,74,0.6964007897975217,0
wt_flair,true,2,10,P5-percentile@n10,95.67878787878789,0.69200179472873,10,74,0.7418932773120686,0
wt_flair,true,2,20,P5-percentile@n20,96.28181818181818,0.726988273335987,20,74,0.7324549277839214,0
wt_flair,true,2,50,P5-percentile@n50,96.28181818181818,0.7248361371439325,50,74,0.7324549277839214,0
wt_flair,true,2,100,P5-percentile@n100,96.08080808080808,0.7153661946295367,100,74,0.7391910559688366,0
wt_flair,true,2,294,P5-percentile,95.67878787878789,0.6982775951263955,294,74,0.7418932773120686,0
wt_flair,true,3,5,P5-percentile@n5,97.4878787878788,0.6704300548739756,5,73,0.627831715210356,0
wt_flair,true,3,10,P5-percentile@n10,96.88484848484849,0.712768833919404,10,73,0.6895074946466809,0
wt_flair,true,3,20,P5-percentile@n20,96.68383838383839,0.7536700872775082,20,73,0.7040446304044631,0
wt_flair,true,3,50,P5-percentile@n50,96.28181818181818,0.7455742767955448,50,73,0.7151319332256327,0
wt_flair,true,3,100,P5-percentile@n100,96.28181818181818,0.7188040281131791,100,73,0.7151319332256327,0
wt_flair,true,3,295,P5-percentile,95.67878787878789,0.698450653291643,295,73,0.7440251572327043,0
wt_flair,true,4,5,P5-percentile@n5,96.08080808080808,0.7081133515044802,5,73,0.7094883930583727,0
wt_flair,true,4,10,P5-percentile@n10,96.88484848484849,0.7166285940492976,10,73,0.6630808950086059,0
wt_flair,true,4,20,P5-percentile@n20,96.28181818181818,0.7341224781189859,20,73,0.7084649925162149,0
wt_flair,true,4,50,P5-percentile@n50,96.28181818181818,0.7204611738912328,50,73,0.7084649925162149,0
wt_flair,true,4,100,P5-percentile@n100,95.87979797979798,0.7169398988418325,100,73,0.7143818712138209,0
wt_flair,true,4,295,P5-percentile,95.67878787878789,0.7054909445648988,295,73,0.7256846780162842,0
wt_flair,false,0,5,P5-percentile@n5,90.65353535353536,0.7026870012111627,5,74,0.629260888063384,0
wt_flair,false,0,10,P5-percentile@n10,87.63838383838385,0.7333762798993553,10,74,0.6954174918066613,0
wt_flair,false,0,20,P5-percentile@n20,87.63838383838385,0.7819406981152135,20,74,0.6954174918066613,0
wt_flair,false,0,50,P5-percentile@n50,86.83434343434344,0.7638320035721357,50,74,0.686849583613472,0
wt_flair,false,0,100,P5-percentile@n100,86.23131313131313,0.7266745510405219,100,74,0.6967355343483033,0
wt_flair,false,0,294,P5-percentile,83.81919191919192,0.7172156363127701,294,74,0.7174157532385919,0
wt_flair,false,1,5,P5-percentile@n5,87.03535353535354,0.6946229364682166,5,74,0.7216279675666699,0
wt_flair,false,1,10,P5-percentile@n10,90.25151515151515,0.7096672896097761,10,74,0.6525584002746458,0
wt_flair,false,1,20,P5-percentile@n20,88.04040404040404,0.7646042398739997,20,74,0.7089243724118517,0
wt_flair,false,1,50,P5-percentile@n50,86.43232323232323,0.7569325091024323,50,74,0.7284045356295458,0
wt_flair,false,1,100,P5-percentile@n100,86.63333333333334,0.7305185584563247,100,74,0.7282210230789545,0
wt_flair,false,1,294,P5-percentile,83.41717171717171,0.7114891072117906,294,74,0.7466208994845804,0
wt_flair,false,2,5,P5-percentile@n5,80.2010101010101,0.662866965529399,5,74,0.7498015286489081,0
wt_flair,false,2,10,P5-percentile@n10,84.42222222222222,0.6886856690681694,10,74,0.7780736251076673,0
wt_flair,false,2,20,P5-percentile@n20,85.02525252525253,0.7425960158890923,20,74,0.7692042654943522,0
wt_flair,false,2,50,P5-percentile@n50,86.43232323232323,0.7326633948210503,50,74,0.7418932773120686,0
wt_flair,false,2,100,P5-percentile@n100,85.22626262626262,0.7199965823536109,100,74,0.767777773219579,0
wt_flair,false,2,294,P5-percentile,83.81919191919192,0.7075090271025205,294,74,0.7834358318985729,0
wt_flair,false,3,5,P5-percentile@n5,91.05555555555556,0.6822238527153827,5,73,0.6352641629535328,0
