target,include_zero_bg,decode_rule,reference,n,median_delta,mean_delta,ci_low,ci_high,p,sesoi,n_zero,mode_k_psnr,mode_k_dice,success
et_t1ce,false,brightest,DP-exact,368,0.0,0.014081489154800942,0.0,0.0,1.149055714851407e-14,0.01,289,10,10,False
et_t1ce,false,morph,DP-exact,368,0.023404014065025604,0.11855233246511007,0.01215561782894275,0.0385969854909142,2.7539802728227173e-41,0.01,127,10,2,True
et_t1ce,false,otsu_pick,DP-exact,368,0.0030345559846955486,0.01120145266079914,0.002472711362961049,0.004067207031238612,6.920483812662325e-54,0.01,50,10,3,False
et_t1ce,false,upper_union,DP-exact,368,0.0011831462805868484,0.008335325284800023,0.0008065632607806988,0.001432598522561006,2.134643362147761e-44,0.01,108,10,3,False
et_t1ce,true,brightest,DP-exact,368,0.0,0.011150334076639148,0.0,0.0,5.214926521052866e-13,0.01,299,10,10,False
et_t1ce,true,morph,DP-exact,368,0.03136228938422515,0.10470662316872323,0.0225055028861836,0.04440967951887945,3.3803449805101644e-46,0.01,97,10,2,True
et_t1ce,true,otsu_pick,DP-exact,368,0.0005503054847839986,0.011015518588289185,0.00036956460199524203,0.0007765409853797943,9.640418513895798e-44,0.01,112,10,5,False
et_t1ce,true,upper_union,DP-exact,368,0.0,0.005031689419766568,0.0,0.0,1.628958993624077e-27,0.01,211,10,5,False
wt_flair,false,brightest,DP-exact,368,0.1259639616478238,0.14808079876565583,0.10513210854938765,0.14797907607935645,4.356866685134801e-52,0.01,61,10,2,True
wt_flair,false,morph,DP-exact,368,0.32101527462305113,0.31207813473488594,0.2923128592553862,0.3445772882987089,6.174582573980721e-60,0.01,13,10,2,True
wt_flair,false,otsu_pick,DP-exact,368,0.012476765715917534,0.09348751985932538,0.010952063484714225,0.014219012301579181,4.054752821311312e-59,0.01,18,10,3,True
wt_flair,false,upper_union,DP-exact,368,0.010661362660860596,0.06779265692084828,0.00861280893806736,0.014203743591694074,4.0001276240906105e-50,0.01,73,10,3,False
wt_flair,true,brightest,DP-exact,368,0.10235662551732588,0.12819838863108118,0.07250588856020357,0.11880210653872823,1.2383765391869726e-49,0.01,76,10,3,True
wt_flair,true,morph,DP-exact,368,0.27068890071262364,0.27350942507462006,0.24560310058491702,0.2992807538160052,5.908006057470862e-59,0.01,19,10,3,True
wt_flair,true,otsu_pick,DP-exact,368,0.008061528085033798,0.13229822790309376,0.006931955957638014,0.009922134277781436,1.1489506100733323e-56,0.01,33,10,3,False
wt_flair,true,upper_union,DP-exact,368,0.0008894723868523996,0.07274797204540284,0.00035993627931998895,0.0018921308576480556,4.998116321424053e-37,0.01,153,10,5,False
